Date	Open	High	Low	Close	Volume
3/4/2016	10.13	10.34	9.53	9.77	6293600
3/3/2016	10.3	10.55	10.18	10.22	6097200
3/2/2016	9.86	10.34	9.66	10.31	7257600
3/1/2016	9.86	10.05	9.39	9.86	7118700
2/29/2016	10.23	10.49	9.38	9.71	6157200
2/26/2016	10.29	10.53	10.1	10.39	4939800
2/25/2016	11.39	11.39	10.25	10.25	9865600
2/24/2016	11.55	11.67	11.05	11.39	6999400
2/23/2016	11.61	11.88	11.44	11.63	7597100
2/22/2016	11.5	11.75	11.39	11.52	6410200
2/19/2016	11.3	11.43	11.15	11.35	4201100
2/18/2016	11.63	11.68	11.24	11.29	6758100
2/17/2016	11.34	11.55	11.13	11.46	7344600
2/16/2016	10.99	11.45	10.99	11.36	6723900
2/15/2016	10.5	10.98	10.31	10.93	4832100
2/12/2016	10.81	10.81	10.81	10.81	0
2/11/2016	10.81	10.81	10.81	10.81	0
2/10/2016	10.81	10.81	10.81	10.81	0
2/9/2016	10.81	10.81	10.81	10.81	0
2/8/2016	10.81	10.81	10.81	10.81	0
2/5/2016	11.15	11.15	10.7	10.81	3528800
2/4/2016	10.97	11.16	10.73	10.97	5153100
2/3/2016	10.7	11.01	10.55	10.9	4862500
2/2/2016	10.39	10.92	10.3	10.85	5771900
2/1/2016	10.26	10.5	10.19	10.39	4874500
1/29/2016	9.8	10.39	9.79	10.24	5285300
1/28/2016	10.15	10.31	9.68	9.78	4135900
1/27/2016	10.26	10.46	9.38	10.32	8158100
1/26/2016	11.05	11.38	10.04	10.2	10224700
1/25/2016	11.07	11.3	11.05	11.16	4825200
1/22/2016	10.9	11.17	10.57	11	5360800
1/21/2016	10.82	11.34	10.7	10.7	8582700
1/20/2016	11.11	11.25	10.9	10.99	6445700
1/19/2016	10.84	11.29	10.7	11.2	8036100
1/18/2016	10.4	11.2	10.2	10.91	7661100
1/15/2016	10.8	10.98	10.34	10.5	9334100
1/14/2016	9.67	11.02	9.55	10.92	11451800
1/13/2016	10.08	10.5	10	10.02	9712200
1/12/2016	9.66	10.15	9.5	10.05	9290800
1/11/2016	10.01	10.6	9.66	9.68	11559700
1/8/2016	11	11.07	10	10.72	12870600
1/7/2016	11.67	11.67	10.5	10.5	3271700
1/6/2016	11.34	11.8	11.25	11.67	7839200
1/5/2016	10.98	11.94	10.78	11.25	13187900
1/4/2016	13.28	13.28	11.98	11.98	9463200
1/1/2016	13.31	13.31	13.31	13.31	0
12/31/2015	13.7	13.7	13.21	13.31	10758500
12/30/2015	13.38	13.74	13.25	13.62	11939500
12/29/2015	13.17	13.44	12.95	13.42	11030800
12/28/2015	13.37	13.87	13.17	13.17	19842400
12/24/2015	13.03	13.25	12.71	13.25	14463600
12/23/2015	13.2	13.42	13	13	17680700
12/22/2015	12.94	13.52	12.66	13.4	25915000
12/21/2015	12.75	13.08	12.63	12.82	20177000
12/18/2015	12.78	12.83	12.46	12.62	14486300
12/17/2015	12.51	12.93	12.42	12.79	21875000
12/16/2015	12.5	12.68	12.37	12.4	15133900
12/15/2015	12.12	12.56	12.12	12.52	13698800
12/14/2015	11.8	12.24	11.73	12.18	9876500
12/11/2015	12.05	12.34	11.84	12.02	14131600
12/10/2015	12.33	12.68	12.15	12.2	20760400
12/9/2015	12.19	12.93	12.03	12.4	19884000
12/8/2015	12.46	12.58	12	12.2	13266800
12/7/2015	12.23	12.78	12.12	12.69	22189800
12/4/2015	11.93	12.29	11.83	12.23	18256300
12/3/2015	11.5	11.95	11.49	11.94	11346100
12/2/2015	12.08	12.15	11	11.48	15977900
12/1/2015	12.32	12.5	11.86	12.08	14860700
11/30/2015	12.27	12.7	11.22	12.44	20124300
11/27/2015	12.51	13.18	11.9	12.25	29388900
11/26/2015	13	13.17	12.62	12.74	30678300
11/25/2015	12.44	13.5	12.33	13.25	40976600
11/24/2015	12	12.56	11.7	12.56	20564300
11/23/2015	12.51	12.87	11.92	12.08	26782200
11/20/2015	12.06	12.51	12.05	12.4	24537200
11/19/2015	11.65	12.1	11.53	12.03	15124800
11/18/2015	12.07	12.19	11.41	11.51	15486000
11/17/2015	12.7	12.88	11.93	11.96	29585900
11/16/2015	11.39	12.68	11.31	12.53	26215000
11/13/2015	12.12	12.28	11.65	11.8	23243700
11/12/2015	12.01	12.8	11.97	12.42	34728400
11/11/2015	11.45	12.05	11.37	11.96	27092400
11/10/2015	11.45	11.87	11.3	11.5	19151000
11/9/2015	11.44	11.73	11.18	11.6	20873400
11/6/2015	10.95	11.88	10.93	11.66	30891200
11/5/2015	11	11.17	10.67	10.93	18897700
11/4/2015	10.33	11.03	10.33	11.02	19779100
11/3/2015	10.26	10.4	9.98	10.4	13378500
11/2/2015	10.25	10.84	10.05	10.16	14935200
10/30/2015	11.05	11.18	10.65	10.77	16176000
10/29/2015	11.35	11.48	10.8	11	21370600
10/28/2015	10.7	11.68	10.63	11.24	37984700
10/27/2015	10.73	11.1	10.14	10.88	23646900
10/26/2015	10.8	11.14	10.51	10.93	27147700
10/23/2015	10.2	10.77	10.1	10.65	25888900
10/22/2015	9.88	10.29	9.59	10.21	23365600
10/21/2015	10.93	10.97	9.95	9.95	31536700
10/20/2015	10.48	11.16	10.4	11.05	29365600
10/19/2015	10.64	10.72	10.25	10.48	20267100
10/16/2015	10.91	10.99	10.29	10.68	26108500
10/15/2015	10.32	10.79	10.21	10.72	25792900
10/14/2015	10.52	10.63	10.26	10.37	27727400
10/13/2015	10.61	10.9	10.08	10.8	44849000
10/12/2015	9.97	9.97	9.97	9.97	5410300
10/9/2015	8.8	9.24	8.7	9.06	17909900
10/8/2015	8.71	8.95	8.59	8.77	13731200
10/7/2015	8.37	8.37	8.37	8.37	0
10/6/2015	8.37	8.37	8.37	8.37	0
10/5/2015	8.37	8.37	8.37	8.37	0
10/2/2015	8.37	8.37	8.37	8.37	0
10/1/2015	8.37	8.37	8.37	8.37	0
9/30/2015	8.47	8.58	8.22	8.37	6925000
9/29/2015	8.58	8.64	8.25	8.39	10034100
9/28/2015	8.32	8.8	8.12	8.79	11811100
9/25/2015	8.9	9.05	8.2	8.38	16336100
9/24/2015	8.7	9.1	8.7	9.02	18249200
9/23/2015	8.51	8.89	8.45	8.68	16671700
9/22/2015	8.78	9.02	8.5	8.71	20049500
9/21/2015	8.07	8.89	8.02	8.78	17553000
9/18/2015	8.36	8.46	8.01	8.25	14632000
9/17/2015	8.5	8.94	8.2	8.2	25155100
9/16/2015	7.85	8.64	7.73	8.64	22033500
9/15/2015	7.73	8.11	7.54	7.85	19226700
9/14/2015	9.45	9.53	8.38	8.38	16294400
9/11/2015	9.37	9.67	9.03	9.31	16080100
9/10/2015	9.3	9.85	9.2	9.41	17733000
9/9/2015	9.4	9.74	9.11	9.5	23498400
9/8/2015	8.35	9.2	8.24	9.17	16303900
9/7/2015	8.45	8.93	8.24	8.5	19076300
9/4/2015	8.2	8.2	8.2	8.2	0
9/3/2015	8.2	8.2	8.2	8.2	0
9/2/2015	8.2	9.43	8.2	8.2	23718500
9/1/2015	9.97	9.97	9.11	9.11	16199400
8/31/2015	10.28	10.5	9.5	10.12	24287100
8/28/2015	9.52	10.21	9.35	10.21	24030600
8/27/2015	9.85	10	8.51	9.28	32346200
8/26/2015	10.36	10.98	9.45	9.45	32235300
8/25/2015	10.5	10.8	10.5	10.5	19242100
8/24/2015	12.51	12.93	11.67	11.67	37153700
8/21/2015	13.77	14.2	12.97	12.97	33873200
8/20/2015	12.8	14.42	12.61	14.41	44002800
8/19/2015	11.91	13.34	11.62	13.11	24731400
8/18/2015	14.01	14.29	12.87	12.87	23688400
8/17/2015	14	14.92	13.58	14.3	23192500
8/14/2015	13.63	14.54	13.38	13.96	33871500
8/13/2015	11.86	13.27	11.8	13.27	32653400
8/12/2015	11.28	12.57	11.2	12.06	29835100
8/11/2015	11.61	11.97	11.2	11.51	22684600
8/10/2015	11.07	11.85	10.9	11.72	24077200
8/7/2015	10.32	10.9	10.32	10.77	21083200
8/6/2015	9.8	10.38	9.68	10.13	13426100
8/5/2015	10.26	10.53	9.99	10.16	23281000
8/4/2015	9.2	9.92	9.08	9.92	18098700
8/3/2015	9.72	9.77	8.82	9.02	13999600
7/31/2015	9.43	10.04	9.32	9.65	13266200
7/30/2015	10.11	10.44	9.65	9.68	16783400
7/29/2015	9.81	10.3	9.18	10.27	19623500
7/28/2015	9.42	10.4	9.4	9.42	23101600
7/27/2015	11.2	11.77	10.44	10.44	22564000
7/24/2015	12.1	12.38	11.43	11.6	25264600
7/23/2015	11.5	12.35	11.21	12.02	23147000
7/22/2015	11.35	11.76	11.03	11.37	21350800
7/21/2015	11.1	11.8	10.96	11.56	27128800
7/20/2015	11.3	11.75	10.9	11.51	34519900
7/17/2015	10.21	10.84	10.18	10.84	27912200
7/16/2015	9.13	9.98	8.45	9.85	32490500
7/15/2015	9.32	9.32	8.8	9.13	41153900
7/14/2015	8.47	8.47	8.47	8.47	211100
7/13/2015	7.7	7.7	7.7	7.7	0
7/10/2015	7.7	7.7	7.7	7.7	0
7/9/2015	7.7	7.7	7.7	7.7	0
7/8/2015	7.7	7.7	7.7	7.7	0
7/7/2015	7.87	8.1	7.7	7.7	7686200
7/6/2015	10.45	10.45	8.55	8.55	25467800
7/3/2015	10.2	10.94	9.5	9.5	22731300
7/2/2015	11	11.35	10.55	10.55	17243300
7/1/2015	12.59	13.06	11.72	11.72	27891300
6/30/2015	11.51	13.1	11.27	13.02	29510400
6/29/2015	14.05	14.3	12.52	12.52	17060100
6/26/2015	14.51	14.78	13.91	13.91	11529500
6/25/2015	17.05	17.18	15.34	15.45	17712600
6/24/2015	17.22	17.58	16.25	17.04	14138800
6/23/2015	16.1	17.18	15.24	17.1	15333400
6/22/2015	16.63	16.63	16.63	16.63	0
6/19/2015	17.5	17.99	16.61	16.63	19150400
6/18/2015	19.98	20.27	18.1	18.45	21469100
6/17/2015	18.6	19.89	17.8	19.73	26129300
6/16/2015	19.33	19.78	18.3	18.8	25761500
6/15/2015	19.1	20.74	18.91	19.83	45424300
6/12/2015	18.14	18.98	17.62	18.85	36843100
6/11/2015	17.51	18.5	17.11	18.06	25772600
6/10/2015	17	17.7	16.75	17.51	24638700
6/9/2015	16.9	17.78	16.43	17	21812800
6/8/2015	18.7	18.7	16.9	17.09	27202700
6/5/2015	18.7	19.4	18.17	18.74	20323400
6/4/2015	19.25	19.25	17.78	18.7	27826000
6/3/2015	20.92	20.92	18.05	19.75	52480400
6/2/2015	17.75	19.02	17.75	19.02	10221000
6/1/2015	16.07	17.38	15.89	17.29	21168900
5/29/2015	15.23	16.2	14	16.13	20270400
5/28/2015	17.2	17.55	15.5	15.5	21273700
5/27/2015	17.5	17.57	16.7	17.22	20284100
5/26/2015	16.39	17.96	16.38	17.5	22767600
5/25/2015	16.05	16.78	15.53	16.37	20983500
5/22/2015	18.7	18.7	16.28	16.76	46814300
5/21/2015	15.82	17.05	15.82	17.05	20339800
5/20/2015	14.7	15.94	14.57	15.5	32936200
5/19/2015	14.01	14.7	14	14.49	25100100
5/18/2015	13.69	14.37	13.4	14.1	19644300
5/15/2015	14.02	14.15	13.19	13.19	16324200
5/14/2015	14.01	14.45	13.89	14.25	15969000
5/13/2015	14	14.9	13.81	14.25	20251500
5/12/2015	14.56	15	13.9	14.72	26770400
5/11/2015	13.7	14.89	13.37	14.55	31268400
5/8/2015	12.68	13.78	12.68	13.74	19263100
5/7/2015	12.55	12.75	12.1	12.53	5540900
5/6/2015	12.57	13.04	12.27	12.45	8277000
5/5/2015	13.12	13.12	12.3	12.55	7449500
5/4/2015	12.77	13.25	12.38	13.17	7435200
5/1/2015	12.76	12.76	12.76	12.76	0
4/30/2015	12.7	13.4	12.6	12.76	10035200
4/29/2015	12.4	13.2	12.05	12.83	12294700
4/28/2015	13.8	13.8	12.31	12.43	10209100
4/27/2015	27.04	28.27	27.04	27.41	12477700
4/24/2015	27.7	27.7	26.2	26.85	10880000
4/23/2015	28	28.72	27.3	28.05	11147000
4/22/2015	27.99	28.76	27.58	27.98	13040800
4/21/2015	25.82	27.7	25.58	27.7	10881500
4/20/2015	26.3	26.7	25.23	25.82	9664500
4/17/2015	26.7	26.97	25.81	26.32	10624400
4/16/2015	25.82	27.25	24.84	26.17	14841400
4/15/2015	29.33	29.86	27.14	27.14	19054400
4/14/2015	31.49	31.5	29.7	30.15	22374500
4/13/2015	32.35	32.7	31	32.1	22529600
4/10/2015	30.75	33.04	30.16	32.15	18024000
4/9/2015	29.76	31.99	26.95	31.11	23397200
4/8/2015	30.23	30.25	28.49	29.94	16130600
4/7/2015	29	30.99	28.5	30.45	17087800
4/6/2015	28.7	28.7	28.7	28.7	0
4/3/2015	28.18	29.25	27.45	28.7	17922300
4/2/2015	25.81	28.22	25.7	28.22	21994100
4/1/2015	24.99	26.1	24.6	25.65	10274900
3/31/2015	24.51	25.26	24.5	24.79	5126100
3/30/2015	25.5	26	24.6	24.75	8507500
3/27/2015	25	25.9	24.8	25.61	7218500
3/26/2015	26.15	26.16	24.26	25	12017400
3/25/2015	25.94	26.99	25.1	26.37	13610200
3/24/2015	25.5	26.75	24.8	25.95	19050200
3/23/2015	22.99	25.26	22.5	25.26	15359200
3/20/2015	23.4	23.5	22.51	22.96	10017000
3/19/2015	22.63	23.4	22.26	23.33	10963900
3/18/2015	22.7	22.7	22.18	22.64	7484600
3/17/2015	22.94	23.5	22.5	22.75	9573200
3/16/2015	22.43	23.25	22.09	23.03	10895000
3/13/2015	22.5	22.7	22.02	22.42	4432600
3/12/2015	22.5	23.47	22.1	22.65	7136200
3/11/2015	22.68	22.79	21.65	22.27	5912300
3/10/2015	22.59	22.59	21.81	22.5	5103800
3/9/2015	22.6	22.6	21.8	22.12	4842600
3/6/2015	22.46	23.12	22.25	22.67	6415300
3/5/2015	23	23.24	22.25	22.45	5739800
3/4/2015	21.43	23.46	21.43	22.74	9545400
3/3/2015	21.84	21.84	21.05	21.55	8778400
3/2/2015	21.7	22.29	20.9	21.89	9701100
2/27/2015	20.48	20.5	19.92	20.43	5927400
2/26/2015	20.67	20.9	19.92	20.49	6260800
2/25/2015	20.98	21.7	20.5	20.5	6417800
2/24/2015	21	21	21	21	0
2/23/2015	21	21	21	21	0
2/20/2015	21	21	21	21	0
2/19/2015	21	21	21	21	0
2/18/2015	21	21	21	21	0
2/17/2015	21.3	21.53	20.3	21	8745300
2/16/2015	19.44	21.43	19.4	21.29	14521100
2/13/2015	18.65	20.2	18.53	19.48	11903500
